price,date
$351.98,20210510-0002
$351.99,20210510-0002
$361.79,20210510-0002
$284.02,20210510-0032
$284.02,20210510-0032
$285.71,20210510-0032
$285.72,20210510-0032
$285.77,20210510-0032
$286.58,20210510-0032
$287.43,20210510-0032
$287.81,20210510-0032
$289.07,20210510-0032
$289.35,20210510-0032
$294.07,20210510-0032
$294.65,20210510-0032
$304.31,20210510-0032
$305.62,20210510-0032
$308.18,20210510-0032
$335.35,20210510-0032
$336.68,20210510-0032
$343.50,20210510-0032
$345.29,20210510-0032
$345.29,20210510-0032
$345.54,20210510-0032
$350.56,20210510-0032
$350.58,20210510-0032
$361.12,20210510-0032
$245.71,20210510-0202
$245.78,20210510-0202
$245.80,20210510-0202
$246.02,20210510-0202
$246.03,20210510-0202
$289.04,20210510-0202
$289.04,20210510-0202
$292.88,20210510-0202
$293.53,20210510-0202
$298.30,20210510-0202
$309.68,20210510-0202
$310.75,20210510-0202
$340.49,20210510-0202
$342.54,20210510-0202
$349.56,20210510-0202
$351.39,20210510-0202
$351.39,20210510-0202
$351.63,20210510-0202
$354.43,20210510-0202
$354.44,20210510-0202
$367.49,20210510-0202
$371.62,20210510-0202
$378.86,20210510-0202
$450.90,20210510-0202
$242.99,20210510-0302
$243.08,20210510-0302
$243.30,20210510-0302
$243.31,20210510-0302
$288.06,20210510-0302
$288.06,20210510-0302
$291.03,20210510-0302
$291.91,20210510-0302
$296.26,20210510-0302
$308.63,20210510-0302
$309.52,20210510-0302
$338.82,20210510-0302
$341.33,20210510-0302
$348.37,20210510-0302
$350.19,20210510-0302
$350.19,20210510-0302
$350.44,20210510-0302
$351.68,20210510-0302
$351.70,20210510-0302
$366.24,20210510-0302
$370.36,20210510-0302
$377.40,20210510-0302
$449.37,20210510-0302
$476.88,20210510-0302
$242.44,20210510-0332
$242.54,20210510-0332
$242.76,20210510-0332
$242.77,20210510-0332
$280.24,20210510-0332
$288.53,20210510-0332
$288.53,20210510-0332
$291.08,20210510-0332
$292.09,20210510-0332
$296.23,20210510-0332
$309.14,20210510-0332
$309.95,20210510-0332
$339.12,20210510-0332
$341.87,20210510-0332
$348.95,20210510-0332
$350.77,20210510-0332
$350.77,20210510-0332
$351.02,20210510-0332
$351.49,20210510-0332
$351.51,20210510-0332
$366.85,20210510-0332
$370.97,20210510-0332
$377.94,20210510-0332
$450.11,20210510-0332
$241.03,20210510-0402
$241.04,20210510-0402
$279.08,20210510-0402
$287.60,20210510-0402
$287.60,20210510-0402
$289.71,20210510-0402
$290.83,20210510-0402
$294.76,20210510-0402
$308.14,20210510-0402
$308.86,20210510-0402
$340.74,20210510-0402
$347.82,20210510-0402
$349.58,20210510-0402
$349.60,20210510-0402
$349.64,20210510-0402
$349.64,20210510-0402
$349.88,20210510-0402
$353.33,20210510-0402
$365.66,20210510-0402
$369.77,20210510-0402
$376.63,20210510-0402
$448.65,20210510-0402
$469.28,20210510-0402
$476.48,20210510-0402
$240.18,20210510-0432
$240.19,20210510-0432
$253.89,20210510-0432
$278.92,20210510-0432
$287.71,20210510-0432
$287.71,20210510-0432
$289.40,20210510-0432
$290.63,20210510-0432
$294.36,20210510-0432
$308.26,20210510-0432
$308.89,20210510-0432
$340.84,20210510-0432
$345.25,20210510-0432
$347.95,20210510-0432
$348.94,20210510-0432
$348.96,20210510-0432
$349.77,20210510-0432
$349.77,20210510-0432
$350.01,20210510-0432
$365.80,20210510-0432
$369.91,20210510-0432
$376.68,20210510-0432
$448.82,20210510-0432
$465.54,20210510-0432
$241.95,20210510-0502
$241.96,20210510-0502
$255.64,20210510-0502
$284.66,20210510-0502
$290.97,20210510-0502
$290.97,20210510-0502
$292.25,20210510-0502
$293.62,20210510-0502
$297.18,20210510-0502
$311.75,20210510-0502
$312.31,20210510-0502
$344.68,20210510-0502
$349.17,20210510-0502
$351.90,20210510-0502
$352.12,20210510-0502
$352.14,20210510-0502
$353.74,20210510-0502
$353.74,20210510-0502
$353.99,20210510-0502
$369.95,20210510-0502
$374.11,20210510-0502
$380.87,20210510-0502
$453.91,20210510-0502
$459.56,20210510-0502
$238.75,20210510-0532
$238.76,20210510-0532
$252.14,20210510-0532
$288.26,20210510-0532
$288.26,20210510-0532
$289.09,20210510-0532
$290.57,20210510-0532
$293.89,20210510-0532
$308.85,20210510-0532
$309.31,20210510-0532
$341.44,20210510-0532
$345.91,20210510-0532
$348.07,20210510-0532
$348.08,20210510-0532
$348.62,20210510-0532
$350.44,20210510-0532
$350.44,20210510-0532
$350.68,20210510-0532
$366.50,20210510-0532
$370.61,20210510-0532
$377.23,20210510-0532
$444.12,20210510-0532
$449.68,20210510-0532
$460.06,20210510-0532
$238.20,20210510-0602
$251.43,20210510-0602
$288.72,20210510-0602
$288.72,20210510-0602
$289.13,20210510-0602
$290.73,20210510-0602
$293.85,20210510-0602
$309.35,20210510-0602
$309.73,20210510-0602
$341.96,20210510-0602
$342.34,20210510-0602
$347.85,20210510-0602
$347.87,20210510-0602
$349.18,20210510-0602
$351.00,20210510-0602
$351.00,20210510-0602
$351.25,20210510-0602
$367.09,20210510-0602
$371.21,20210510-0602
$377.76,20210510-0602
$433.66,20210510-0602
$450.41,20210510-0602
$457.37,20210510-0602
$497.84,20210510-0602
$236.27,20210510-0632
$249.28,20210510-0632
$286.78,20210510-0632
$287.53,20210510-0632
$287.53,20210510-0632
$289.22,20210510-0632
$292.12,20210510-0632
$308.07,20210510-0632
$308.36,20210510-0632
$340.53,20210510-0632
$340.93,20210510-0632
$345.65,20210510-0632
$345.66,20210510-0632
$347.74,20210510-0632
$349.55,20210510-0632
$349.55,20210510-0632
$349.80,20210510-0632
$365.57,20210510-0632
$369.68,20210510-0632
$376.11,20210510-0632
