price,date,min,max,median
461.92,20210511-2100,461.92,1677.48,503.91
503.91,20210511-2100,461.92,1677.48,503.91
1677.48,20210511-2100,461.92,1677.48,503.91
460.2,20210511-2115,460.2,1671.79,502.03
502.03,20210511-2115,460.2,1671.79,502.03
1671.79,20210511-2115,460.2,1671.79,502.03
458.87,20210511-2130,458.87,1667.5,500.58
500.58,20210511-2130,458.87,1667.5,500.58
1667.5,20210511-2130,458.87,1667.5,500.58
457.96,20210511-2145,457.96,1664.78,499.6
499.6,20210511-2145,457.96,1664.78,499.6
1664.78,20210511-2145,457.96,1664.78,499.6
459.14,20210511-2200,459.14,1669.59,500.88
500.88,20210511-2200,459.14,1669.59,500.88
1669.59,20210511-2200,459.14,1669.59,500.88
459.98,20210511-2215,459.98,1673.21,501.79
501.79,20210511-2215,459.98,1673.21,501.79
1673.21,20210511-2215,459.98,1673.21,501.79
464.24,20210511-2230,464.24,1689.27,506.44
506.44,20210511-2230,464.24,1689.27,506.44
1689.27,20210511-2230,464.24,1689.27,506.44
467.81,20210511-2245,467.81,1702.84,510.34
510.34,20210511-2245,467.81,1702.84,510.34
1702.84,20210511-2245,467.81,1702.84,510.34
467.18,20210511-2300,467.18,1701.08,509.65
509.65,20210511-2300,467.18,1701.08,509.65
1701.08,20210511-2300,467.18,1701.08,509.65
469.27,20210511-2315,469.27,1709.28,511.94
511.94,20210511-2315,469.27,1709.28,511.94
1709.28,20210511-2315,469.27,1709.28,511.94
468.97,20210511-2330,468.97,1708.75,511.61
511.61,20210511-2330,468.97,1708.75,511.61
1708.75,20210511-2330,468.97,1708.75,511.61
470.51,20210511-2345,470.51,1714.92,513.28
513.28,20210511-2345,470.51,1714.92,513.28
1714.92,20210511-2345,470.51,1714.92,513.28
476.76,20210512-0000,476.76,1738.26,520.1
520.1,20210512-0000,476.76,1738.26,520.1
1738.26,20210512-0000,476.76,1738.26,520.1
474.6,20210512-0015,474.6,1730.99,517.75
517.75,20210512-0015,474.6,1730.99,517.75
1730.99,20210512-0015,474.6,1730.99,517.75
474.72,20210512-0030,474.72,1731.99,517.88
517.88,20210512-0030,474.72,1731.99,517.88
1731.99,20210512-0030,474.72,1731.99,517.88
471.15,20210512-0045,471.15,1719.54,513.99
513.99,20210512-0045,471.15,1719.54,513.99
1719.54,20210512-0045,471.15,1719.54,513.99
472.2,20210512-0100,472.2,1723.92,515.13
515.13,20210512-0100,472.2,1723.92,515.13
1723.92,20210512-0100,472.2,1723.92,515.13
474.71,20210512-0115,474.71,1733.66,517.87
517.87,20210512-0115,474.71,1733.66,517.87
1733.66,20210512-0115,474.71,1733.66,517.87
475.58,20210512-0130,475.58,1737.41,518.82
518.82,20210512-0130,475.58,1737.41,518.82
1737.41,20210512-0130,475.58,1737.41,518.82
474.92,20210512-0145,474.92,1735.57,518.09
518.09,20210512-0145,474.92,1735.57,518.09
1735.57,20210512-0145,474.92,1735.57,518.09
474.9,20210512-0200,474.9,1736.09,518.08
518.08,20210512-0200,474.9,1736.09,518.08
1736.09,20210512-0200,474.9,1736.09,518.08
475.94,20210512-0215,475.94,1740.46,519.21
519.21,20210512-0215,475.94,1740.46,519.21
1740.46,20210512-0215,475.94,1740.46,519.21
474.1,20210512-0230,474.1,1734.3,517.2
517.2,20210512-0230,474.1,1734.3,517.2
1734.3,20210512-0230,474.1,1734.3,517.2
474.26,20210512-0245,474.26,1735.44,517.37
517.37,20210512-0245,474.26,1735.44,517.37
1735.44,20210512-0245,474.26,1735.44,517.37
472.32,20210512-0300,472.32,1728.91,515.26
515.26,20210512-0300,472.32,1728.91,515.26
1728.91,20210512-0300,472.32,1728.91,515.26
472.95,20210512-0315,472.95,1731.8,515.95
515.95,20210512-0315,472.95,1731.8,515.95
1731.8,20210512-0315,472.95,1731.8,515.95
475.06,20210512-0330,475.06,1740.09,518.25
518.25,20210512-0330,475.06,1740.09,518.25
1740.09,20210512-0330,475.06,1740.09,518.25
473.7,20210512-0345,473.7,1735.7,516.77
516.77,20210512-0345,473.7,1735.7,516.77
1735.7,20210512-0345,473.7,1735.7,516.77
473.72,20210512-0400,473.72,1736.31,516.78
516.78,20210512-0400,473.72,1736.31,516.78
1736.31,20210512-0400,473.72,1736.31,516.78
471.95,20210512-0415,471.95,1730.41,514.86
514.86,20210512-0415,471.95,1730.41,514.86
1730.41,20210512-0415,471.95,1730.41,514.86
469.17,20210512-0430,469.17,1720.77,511.82
511.82,20210512-0430,469.17,1720.77,511.82
1720.77,20210512-0430,469.17,1720.77,511.82
471.46,20210512-0445,471.46,1729.73,514.32
514.32,20210512-0445,471.46,1729.73,514.32
1729.73,20210512-0445,471.46,1729.73,514.32
472.28,20210512-0500,472.28,1733.33,515.22
515.22,20210512-0500,472.28,1733.33,515.22
1733.33,20210512-0500,472.28,1733.33,515.22
473.71,20210512-0515,473.71,1739.14,516.77
516.77,20210512-0515,473.71,1739.14,516.77
1739.14,20210512-0515,473.71,1739.14,516.77
473.95,20210512-0530,473.95,1740.59,517.03
517.03,20210512-0530,473.95,1740.59,517.03
1740.59,20210512-0530,473.95,1740.59,517.03
474.02,20210512-0545,474.02,1741.41,517.11
517.11,20210512-0545,474.02,1741.41,517.11
1741.41,20210512-0545,474.02,1741.41,517.11
473.87,20210512-0600,473.87,1741.45,516.95
516.95,20210512-0600,473.87,1741.45,516.95
1741.45,20210512-0600,473.87,1741.45,516.95
471.26,20210512-0615,471.26,1732.41,514.1
514.1,20210512-0615,471.26,1732.41,514.1
1732.41,20210512-0615,471.26,1732.41,514.1
471.22,20210512-0630,471.22,1732.85,514.06
514.06,20210512-0630,471.22,1732.85,514.06
1732.85,20210512-0630,471.22,1732.85,514.06
467.99,20210512-0645,467.99,1721.53,510.53
510.53,20210512-0645,467.99,1721.53,510.53
1721.53,20210512-0645,467.99,1721.53,510.53
467.38,20210512-0700,467.38,1719.86,509.87
509.87,20210512-0700,467.38,1719.86,509.87
1719.86,20210512-0700,467.38,1719.86,509.87
468.75,20210512-0715,468.75,1725.44,511.36
511.36,20210512-0715,468.75,1725.44,511.36
1725.44,20210512-0715,468.75,1725.44,511.36
469.74,20210512-0730,469.74,1729.68,512.45
512.45,20210512-0730,469.74,1729.68,512.45
1729.68,20210512-0730,469.74,1729.68,512.45
469.0,20210512-0745,469.0,1727.52,511.64
511.64,20210512-0745,469.0,1727.52,511.64
1727.52,20210512-0745,469.0,1727.52,511.64
471.11,20210512-0800,471.11,1735.85,513.94
513.94,20210512-0800,471.11,1735.85,513.94
1735.85,20210512-0800,471.11,1735.85,513.94
